Day,Count
2019-09-07,3
2019-09-08,3
2019-09-09,15
2019-09-10,2
2019-09-11,10
2019-09-12,29
2019-09-13,10
2019-09-14,5
2019-09-15,6
2019-09-16,22
2019-09-17,6
2019-09-18,6
2019-09-19,16
2019-09-20,3
2019-09-21,4
2019-09-22,1
2019-09-23,28
2019-09-24,8
2019-09-25,2
2019-09-26,21
2019-09-27,3
2019-09-28,1
2019-09-30,7
2019-10-01,1
2019-10-03,6
2019-10-04,10
2019-10-05,4
2019-10-07,9
2019-10-08,5
2019-10-09,6
2019-10-10,13
2019-10-11,6
2019-10-12,3
2019-10-13,1
2019-10-14,8
2019-10-15,2
2019-10-16,4
2019-10-17,2
2019-10-18,2
2019-10-19,2
2019-10-20,2
2019-10-21,10
2019-10-22,3
2019-10-23,6
2019-10-24,4
2019-10-25,3
2019-10-26,2
2019-10-28,5
2019-10-29,3
2019-10-30,4
2019-10-31,4
2019-11-01,6
2019-11-02,1
2019-11-03,2
2019-11-04,11
2019-11-05,7
2019-11-06,5
2019-11-07,14
2019-11-08,3
2019-11-09,4
2019-11-10,13
2019-11-11,10
2019-11-12,9
2019-11-13,11
2019-11-14,12
2019-11-15,4
2019-11-16,3
2019-11-17,12
2019-11-18,6
2019-11-19,4
2019-11-20,11
2019-11-21,18
2019-11-22,35
2019-11-23,13
2019-11-24,3
2019-11-25,15
2019-11-26,7
2019-11-27,5
2019-11-28,7
2019-11-29,1
2019-11-30,2
2019-12-01,2
2019-12-02,4
2019-12-03,2
2019-12-04,5
2019-12-05,5
2019-12-06,9
2019-12-07,2
2019-12-08,2
2019-12-09,13
2019-12-10,19
2019-12-11,25
2019-12-12,14
2019-12-13,1
2019-12-14,5
2019-12-15,14
2019-12-16,7
2019-12-17,8
2019-12-18,27
2019-12-19,24
2019-12-20,12
2019-12-21,4
2019-12-22,15
2019-12-23,3
2019-12-24,7
2019-12-27,2
2019-12-28,2
2019-12-29,1
2019-12-30,5
2019-12-31,19
2020-01-01,6
2020-01-02,10
2020-01-03,15
2020-01-04,23
2020-01-05,6
2020-01-06,15
2020-01-07,10
2020-01-08,9
2020-01-09,25
2020-01-10,14
2020-01-11,13
2020-01-12,10
2020-01-13,12
2020-01-14,27
2020-01-15,12
2020-01-16,34
2020-01-17,5
2020-01-18,9
2020-01-19,4
2020-01-20,11
2020-01-21,42
2020-01-22,16
2020-01-23,18
2020-01-24,12
2020-01-25,4
2020-01-26,9
2020-01-27,23
2020-01-28,9
2020-01-29,7
2020-01-30,10
2020-01-31,5
